Parameter Count: 930114
Training with 118287 image pairs
[   100,  0.0000223]     0.0009,     0.0076,    25.0415,    12h49m34s
[   200,  0.0000287]     0.0009,     0.0070,    24.5397,    12h48m28s
[   300,  0.0000351]     0.0009,     0.0084,    22.9110,    13h41m06s
[   400,  0.0000415]     0.0017,     0.0158,    19.9851,    13h42m13s
[   500,  0.0000479]     0.0014,     0.0180,    18.2055,    13h45m40s
[   600,  0.0000543]     0.0027,     0.0288,    16.2157,    13h44m12s
[   700,  0.0000607]     0.0028,     0.0459,    14.4207,    13h47m53s
[   800,  0.0000671]     0.0106,     0.0720,    12.7770,    13h41m40s
[   900,  0.0000735]     0.0158,     0.1022,    11.5869,    13h39m14s
[  1000,  0.0000799]     0.0206,     0.1458,    10.1741,    13h45m29s
[  1100,  0.0000863]     0.0270,     0.1914,     9.4920,    13h44m18s
[  1200,  0.0000927]     0.0342,     0.2311,     8.3009,    13h56m16s
[  1300,  0.0000991]     0.0398,     0.2639,     7.6348,    13h44m39s
[  1400,  0.0001055]     0.0445,     0.2756,     7.4036,    13h44m30s
[  1500,  0.0001119]     0.0417,     0.2933,     6.9517,    13h40m47s
[  1600,  0.0001183]     0.0448,     0.3139,     6.4473,    13h41m53s
[  1700,  0.0001247]     0.0495,     0.3425,     5.7329,    13h37m50s
[  1800,  0.0001311]     0.0489,     0.3231,     5.8605,    13h40m52s
[  1900,  0.0001375]     0.0561,     0.3613,     5.3102,    13h42m14s
[  2000,  0.0001439]     0.0733,     0.4336,     4.8834,    13h37m37s
[  2100,  0.0001502]     0.0830,     0.4475,     4.7905,    13h35m51s
[  2200,  0.0001566]     0.0920,     0.4895,     4.4372,    13h40m32s
[  2300,  0.0001630]     0.0992,     0.4952,     4.3236,    13h38m26s
[  2400,  0.0001694]     0.1408,     0.5697,     3.8528,    13h32m23s
[  2500,  0.0001758]     0.1370,     0.5616,     3.9108,    13h35m15s
[  2600,  0.0001822]     0.1658,     0.6012,     3.7840,    13h36m05s
[  2700,  0.0001886]     0.1819,     0.6244,     3.6183,    13h33m01s
[  2800,  0.0001950]     0.1806,     0.6336,     3.5991,    13h35m29s
[  2900,  0.0002014]     0.2139,     0.6625,     3.4584,    13h32m09s
[  3000,  0.0002078]     0.2153,     0.6658,     3.3374,    13h30m53s
[  3100,  0.0002142]     0.2439,     0.6981,     3.0596,    13h33m11s
