Parameter Count: 1292868
Training with 118287 image pairs
[   100,  0.0000223]     0.0009,     0.0054,    24.8918,    34h20m26s
[   200,  0.0000287]     0.0008,     0.0072,    24.5547,    34h25m35s
[   300,  0.0000351]     0.0013,     0.0098,    22.3208,    34h26m26s
[   400,  0.0000415]     0.0022,     0.0167,    19.5852,    34h25m57s
[   500,  0.0000479]     0.0039,     0.0273,    16.7015,    34h25m49s
[   600,  0.0000543]     0.0058,     0.0534,    14.6418,    34h24m18s
[   700,  0.0000607]     0.0108,     0.0800,    12.9049,    34h24m58s
[   800,  0.0000671]     0.0150,     0.1172,    11.4522,    34h22m00s
[   900,  0.0000735]     0.0266,     0.1748,    10.1208,    34h17m47s
[  1000,  0.0000799]     0.0411,     0.2344,     8.9452,    34h15m17s
[  1100,  0.0000863]     0.0498,     0.2995,     7.8740,    34h19m29s
[  1200,  0.0000927]     0.0470,     0.2867,     8.0474,    34h16m27s
[  1300,  0.0000991]     0.0652,     0.3641,     6.7961,    34h13m30s
[  1400,  0.0001055]     0.0584,     0.3533,     6.9786,    34h08m12s
[  1500,  0.0001119]     0.0675,     0.3980,     6.1692,    34h10m15s
[  1600,  0.0001183]     0.0780,     0.4152,     6.1524,    34h07m23s
[  1700,  0.0001247]     0.0708,     0.4034,     6.3006,    34h03m11s
[  1800,  0.0001311]     0.0745,     0.4269,     5.9543,    34h02m17s
[  1900,  0.0001375]     0.0791,     0.4363,     5.8182,    34h03m25s
[  2000,  0.0001439]     0.0758,     0.4223,     6.2496,    34h00m28s
[  2100,  0.0001502]     0.0839,     0.4544,     5.5740,    33h55m26s
[  2200,  0.0001566]     0.0850,     0.4747,     4.9358,    33h58m45s
[  2300,  0.0001630]     0.0814,     0.4556,     5.7555,    33h53m28s
[  2400,  0.0001694]     0.0906,     0.4802,     5.4433,    33h51m43s
[  2500,  0.0001758]     0.0955,     0.5103,     4.6613,    33h51m22s
[  2600,  0.0001822]     0.0798,     0.4869,     5.0709,    33h49m25s
[  2700,  0.0001886]     0.1011,     0.5222,     4.7876,    33h45m53s
