Parameter Count: 930114
Training with 118287 image pairs
[   100,  0.0000223]     0.0014,     0.0079,    25.0393,    12h47m04s
[   200,  0.0000287]     0.0008,     0.0067,    24.4032,    12h44m32s
[   300,  0.0000351]     0.0006,     0.0089,    22.5895,    13h01m35s
[   400,  0.0000415]     0.0014,     0.0163,    19.4708,    13h33m05s
[   500,  0.0000479]     0.0023,     0.0219,    17.7221,    13h34m57s
[   600,  0.0000543]     0.0041,     0.0341,    15.7270,    13h35m39s
[   700,  0.0000607]     0.0067,     0.0520,    13.8565,    13h36m40s
[   800,  0.0000671]     0.0109,     0.0842,    12.1803,    13h39m01s
[   900,  0.0000735]     0.0178,     0.1331,    10.7349,    13h38m52s
[  1000,  0.0000799]     0.0273,     0.1825,     9.3307,    13h36m09s
[  1100,  0.0000863]     0.0406,     0.2344,     8.5660,    13h36m00s
[  1200,  0.0000927]     0.0428,     0.2781,     7.5195,    13h37m51s
[  1300,  0.0000991]     0.0498,     0.3036,     6.9510,    13h34m21s
[  1400,  0.0001055]     0.0484,     0.3148,     6.5894,    13h40m27s
[  1500,  0.0001119]     0.0512,     0.3448,     6.1558,    13h36m11s
[  1600,  0.0001183]     0.0492,     0.3409,     5.8412,    13h32m38s
[  1700,  0.0001247]     0.0586,     0.3869,     5.2231,    13h34m50s
[  1800,  0.0001311]     0.0695,     0.4197,     5.0891,    13h30m42s
[  1900,  0.0001375]     0.0998,     0.4911,     4.4940,    13h26m03s
[  2000,  0.0001439]     0.1202,     0.5325,     4.1897,    13h29m03s
[  2100,  0.0001502]     0.1491,     0.5667,     3.8446,    13h32m11s
[  2200,  0.0001566]     0.1927,     0.6242,     3.4895,    13h29m49s
[  2300,  0.0001630]     0.1862,     0.6114,     3.5043,    13h30m33s
[  2400,  0.0001694]     0.2152,     0.6598,     3.2216,    13h25m33s
[  2500,  0.0001758]     0.2166,     0.6456,     3.3892,    13h33m29s
[  2600,  0.0001822]     0.2550,     0.6725,     3.1572,    13h23m38s
[  2700,  0.0001886]     0.2980,     0.7195,     2.9111,    13h24m47s
[  2800,  0.0001950]     0.3411,     0.7541,     2.6037,    13h26m01s
[  2900,  0.0002014]     0.3488,     0.7589,     2.7385,    13h27m23s
[  3000,  0.0002078]     0.3731,     0.7664,     2.5992,    13h20m18s
[  3100,  0.0002142]     0.4017,     0.7961,     2.2811,    13h22m07s
[  3200,  0.0002206]     0.4530,     0.8170,     2.1878,    13h22m38s
[  3300,  0.0002270]     0.4745,     0.8178,     2.0756,    13h22m36s
[  3400,  0.0002334]     0.4608,     0.8186,     2.1792,    13h23m08s
[  3500,  0.0002398]     0.5316,     0.8586,     1.8312,    13h20m25s
[  3600,  0.0002462]     0.5225,     0.8466,     1.9367,    13h17m51s
[  3700,  0.0002526]     0.5416,     0.8580,     1.8715,    13h19m34s
[  3800,  0.0002590]     0.5473,     0.8647,     2.0111,    13h17m07s
[  3900,  0.0002654]     0.5831,     0.8827,     1.7454,    13h18m54s
[  4000,  0.0002718]     0.6027,     0.8880,     1.5663,    13h14m32s
[  4100,  0.0002782]     0.6281,     0.8927,     1.8024,    13h22m36s
[  4200,  0.0002846]     0.6498,     0.9055,     1.3757,    13h16m49s
[  4300,  0.0002910]     0.6252,     0.8998,     1.6265,    13h15m56s
[  4400,  0.0002973]     0.6533,     0.9153,     1.4925,    13h15m08s
[  4500,  0.0003037]     0.6873,     0.9141,     1.4687,    13h15m51s
[  4600,  0.0003101]     0.7041,     0.9223,     1.2340,    13h13m53s
[  4700,  0.0003165]     0.6845,     0.9184,     1.4071,    13h15m15s
[  4800,  0.0003229]     0.6909,     0.9219,     1.3568,    13h13m01s
[  4900,  0.0003293]     0.7155,     0.9308,     1.2645,    13h10m50s
[  5000,  0.0003357]     0.7353,     0.9275,     1.3104,    13h08m52s
[  5100,  0.0003421]     0.6850,     0.9217,     1.3471,    13h10m11s
[  5200,  0.0003485]     0.7281,     0.9361,     1.1762,    13h10m30s
[  5300,  0.0003549]     0.7542,     0.9339,     1.2218,    13h11m52s
[  5400,  0.0003613]     0.7541,     0.9470,     1.0494,    13h06m43s
[  5500,  0.0003677]     0.7655,     0.9406,     1.1782,    13h08m33s
[  5600,  0.0003741]     0.7473,     0.9378,     1.0551,    13h08m15s
[  5700,  0.0003805]     0.7712,     0.9464,     1.0577,    13h07m55s
[  5800,  0.0003869]     0.7780,     0.9467,     1.1654,    13h04m47s
[  5900,  0.0003933]     0.7792,     0.9489,     0.9481,    13h03m15s
[  6000,  0.0003997]     0.8158,     0.9647,     0.8942,    13h07m11s
[  6100,  0.0003997]     0.7648,     0.9433,     1.1428,    13h07m22s
[  6200,  0.0003993]     0.7761,     0.9348,     1.2444,    13h04m19s
[  6300,  0.0003990]     0.8070,     0.9567,     1.0159,    13h02m02s
[  6400,  0.0003986]     0.8042,     0.9602,     0.8445,    12h59m38s
[  6500,  0.0003983]     0.8013,     0.9570,     0.9771,    12h57m52s
[  6600,  0.0003979]     0.8398,     0.9684,     0.7961,    12h59m30s
[  6700,  0.0003976]     0.8197,     0.9611,     0.8880,    12h59m36s
[  6800,  0.0003972]     0.8372,     0.9623,     0.8239,    12h58m49s
[  6900,  0.0003969]     0.8330,     0.9644,     0.8734,    12h54m57s
[  7000,  0.0003965]     0.8425,     0.9647,     0.8185,    12h58m05s
[  7100,  0.0003962]     0.8588,     0.9716,     0.7720,    12h57m06s
[  7200,  0.0003958]     0.8492,     0.9622,     0.8326,    12h53m44s
[  7300,  0.0003955]     0.8495,     0.9605,     0.8968,    12h53m41s
[  7400,  0.0003951]     0.8472,     0.9716,     0.7269,    12h55m46s
[  7500,  0.0003948]     0.8797,     0.9733,     0.6954,    12h53m27s
[  7600,  0.0003944]     0.8664,     0.9666,     0.7656,    12h49m33s
[  7700,  0.0003941]     0.8803,     0.9766,     0.6284,    12h53m09s
[  7800,  0.0003937]     0.8888,     0.9755,     0.6319,    12h51m26s
[  7900,  0.0003934]     0.8859,     0.9742,     0.6439,    12h52m25s
[  8000,  0.0003930]     0.8783,     0.9742,     0.7011,    12h50m26s
[  8100,  0.0003927]     0.8794,     0.9714,     0.7761,    12h50m49s
[  8200,  0.0003923]     0.9136,     0.9844,     0.5102,    12h47m13s
[  8300,  0.0003920]     0.9052,     0.9812,     0.5774,    12h43m36s
[  8400,  0.0003916]     0.9064,     0.9812,     0.5362,    12h48m19s
[  8500,  0.0003913]     0.8948,     0.9742,     0.6149,    12h44m53s
[  8600,  0.0003909]     0.9134,     0.9833,     0.5642,    12h48m31s
[  8700,  0.0003906]     0.8952,     0.9789,     0.5815,    12h43m27s
[  8800,  0.0003902]     0.9052,     0.9817,     0.6085,    12h45m47s
[  8900,  0.0003899]     0.9131,     0.9831,     0.5321,    12h41m43s
[  9000,  0.0003895]     0.8964,     0.9772,     0.6944,    12h43m10s
[  9100,  0.0003891]     0.9048,     0.9797,     0.5861,    12h41m54s
[  9200,  0.0003888]     0.9184,     0.9808,     0.5162,    12h44m16s
[  9300,  0.0003884]     0.9148,     0.9805,     0.5692,    12h40m18s
[  9400,  0.0003881]     0.9244,     0.9864,     0.5282,    12h38m49s
[  9500,  0.0003877]     0.9284,     0.9831,     0.5220,    12h39m02s
